x-axis,1,2,3
second,Volt,Volt,Volt
-2.300000E-03,,,
-2.297500E-03,,,
-2.295000E-03,+61.661435E-03,-9.418952E-03,-5.650426E-03
-2.292500E-03,+59.751885E-03,-11.630008E-03,-5.871532E-03
-2.290000E-03,+58.043330E-03,-10.524485E-03,-6.012235E-03
-2.287500E-03,+57.239322E-03,-10.624977E-03,-6.374044E-03
-2.285000E-03,+56.636300E-03,-8.514423E-03,-5.992136E-03
-2.282500E-03,+59.751885E-03,-9.117446E-03,-6.645402E-03
-2.280000E-03,+57.641312E-03,-13.740582E-03,-6.856457E-03
-2.277500E-03,+61.661445E-03,-11.630008E-03,-6.625300E-03
-2.275000E-03,+59.751885E-03,-10.122457E-03,-6.625300E-03
-2.272500E-03,+58.344865E-03,-10.524466E-03,-6.122788E-03
-2.270000E-03,+61.560914E-03,-10.524514E-03,-6.484594E-03
-2.267500E-03,+57.540848E-03,-16.052083E-03,-6.595148E-03
-2.265000E-03,+62.063482E-03,-14.042088E-03,-6.152933E-03
-2.262500E-03,+60.254376E-03,-11.630008E-03,-6.374044E-03
-2.260000E-03,+62.264448E-03,-13.941634E-03,-6.032338E-03
-2.257500E-03,+59.751885E-03,-9.117446E-03,-6.002182E-03
-2.255000E-03,+58.847414E-03,-10.825962E-03,-6.374044E-03
-2.252500E-03,+57.239322E-03,-9.117446E-03,-6.414248E-03
-2.250000E-03,+57.239264E-03,-9.117503E-03,-6.625300E-03
-2.247500E-03,+57.239322E-03,-9.519425E-03,-6.203184E-03
-2.245000E-03,+54.726760E-03,-9.921434E-03,-6.203187E-03
-2.242500E-03,+56.033326E-03,-10.424012E-03,-6.253444E-03
-2.240000E-03,+53.118754E-03,-13.238013E-03,-6.625300E-03
-2.237500E-03,+56.736773E-03,-11.127459E-03,-6.424299E-03
-2.235000E-03,+52.314737E-03,-11.529468E-03,-6.363990E-03
-2.232500E-03,+55.028227E-03,-9.418913E-03,-6.565007E-03
-2.230000E-03,+57.239322E-03,-11.630008E-03,-6.374044E-03
-2.227500E-03,+54.726760E-03,-11.630008E-03,-6.625300E-03
-2.225000E-03,+57.239322E-03,-10.122515E-03,-6.625300E-03
-2.222500E-03,+56.636261E-03,-7.811005E-03,-6.755944E-03
-2.220000E-03,+54.726760E-03,-11.630008E-03,-6.876557E-03
-2.217500E-03,+52.214197E-03,-13.740659E-03,-6.876557E-03
-2.215000E-03,+57.239322E-03,-7.207847E-03,-6.625300E-03
-2.212500E-03,+56.234349E-03,-8.614829E-03,-6.474541E-03
-2.210000E-03,+52.214197E-03,-11.630008E-03,-6.735859E-03
-2.207500E-03,+54.726760E-03,-12.333581E-03,-7.057456E-03
-2.205000E-03,+55.028324E-03,-11.630008E-03,-6.876557E-03
-2.202500E-03,+57.138878E-03,-9.217890E-03,-6.876557E-03
-2.200000E-03,+54.726760E-03,-7.609788E-03,-7.077568E-03
-2.197500E-03,+55.631221E-03,-8.212984E-03,-6.283598E-03
-2.195000E-03,+55.932853E-03,-12.936478E-03,-6.384082E-03
-2.192500E-03,+56.435238E-03,-12.434093E-03,-6.876557E-03
-2.190000E-03,+57.239322E-03,-9.117446E-03,-6.585093E-03
-2.187500E-03,+54.726827E-03,-14.142436E-03,-6.625294E-03
-2.185000E-03,+57.239322E-03,-13.740630E-03,-5.911726E-03
-2.182500E-03,+53.922810E-03,-9.921395E-03,-5.951926E-03
-2.180000E-03,+52.314844E-03,-12.835966E-03,-5.992127E-03
-2.177500E-03,+56.334726E-03,-13.237975E-03,-5.961991E-03
-2.175000E-03,+56.736735E-03,-12.634808E-03,-6.323785E-03
-2.172500E-03,+54.626180E-03,-9.318604E-03,-6.363986E-03
-2.170000E-03,+56.937893E-03,-11.630008E-03,-6.343901E-03
-2.167500E-03,+55.430197E-03,-11.630008E-03,-5.941875E-03
-2.165000E-03,+55.028430E-03,-10.524562E-03,-6.012243E-03
-2.162500E-03,+54.224413E-03,-9.117446E-03,-6.122788E-03
-2.160000E-03,+56.033123E-03,-11.026909E-03,-6.374044E-03
-2.157500E-03,+54.927851E-03,-9.318537E-03,-6.605191E-03
-2.155000E-03,+52.415114E-03,-11.830926E-03,-6.605209E-03
-2.152500E-03,+56.033470E-03,-10.424157E-03,-6.625300E-03
-2.150000E-03,+56.234388E-03,-12.132702E-03,-6.524807E-03
-2.147500E-03,+56.133702E-03,-13.036951E-03,-6.765995E-03
-2.145000E-03,+54.726760E-03,-12.333620E-03,-6.122788E-03
-2.142500E-03,+52.214197E-03,-9.720651E-03,-5.871532E-03
-2.140000E-03,+54.726760E-03,-13.841354E-03,-6.343922E-03
-2.137500E-03,+53.219025E-03,-11.630008E-03,-5.871532E-03
-2.135000E-03,+54.726760E-03,-10.021868E-03,-5.961974E-03
-2.132500E-03,+53.520628E-03,-9.117446E-03,-5.730858E-03
-2.130000E-03,+52.314390E-03,-10.825885E-03,-6.374044E-03
-2.127500E-03,+52.214197E-03,-9.519560E-03,-6.082576E-03
-2.125000E-03,+54.726760E-03,-6.604989E-03,-5.871542E-03
-2.122500E-03,+54.324857E-03,-13.740669E-03,-5.740846E-03
-2.120000E-03,+53.822019E-03,-10.826097E-03,-6.042397E-03
-2.117500E-03,+56.033403E-03,-7.810802E-03,-6.253452E-03
-2.115000E-03,+57.942615E-03,-9.117446E-03,-6.534837E-03
-2.112500E-03,+55.229386E-03,-11.630008E-03,-6.675563E-03
-2.110000E-03,+54.726760E-03,-9.117446E-03,-6.866495E-03
-2.107500E-03,+55.028150E-03,-9.418836E-03,-6.655439E-03
-2.105000E-03,+55.430159E-03,-11.630008E-03,-6.946897E-03
-2.102500E-03,+58.646478E-03,-11.630008E-03,-6.876557E-03
-2.100000E-03,+59.751885E-03,-13.137424E-03,-7.127813E-03
-2.097500E-03,+59.148747E-03,-13.539433E-03,-7.188127E-03
-2.095000E-03,+59.751885E-03,-11.630008E-03,-7.379069E-03
-2.092500E-03,+62.264448E-03,-9.318324E-03,-7.147901E-03
-2.090000E-03,+64.174123E-03,-9.720333E-03,-7.379069E-03
-2.087500E-03,+61.259552E-03,-10.625113E-03,-7.228303E-03
-2.085000E-03,+60.857544E-03,-11.630008E-03,-7.127813E-03
-2.082500E-03,+61.560798E-03,-10.926358E-03,-7.127813E-03
-2.080000E-03,+61.962806E-03,-11.931650E-03,-7.600161E-03
-2.077500E-03,+59.751885E-03,-11.529641E-03,-7.620289E-03
-2.075000E-03,+62.264448E-03,-11.127633E-03,-7.580088E-03
-2.072500E-03,+62.063859E-03,-10.926214E-03,-7.449449E-03
-2.070000E-03,+61.058278E-03,-14.142571E-03,-7.379069E-03
-2.067500E-03,+59.751885E-03,-9.921607E-03,-7.127813E-03
-2.065000E-03,+61.460141E-03,-11.227855E-03,-7.127813E-03
-2.062500E-03,+62.264303E-03,-14.142426E-03,-7.127784E-03
-2.060000E-03,+62.264448E-03,-11.630008E-03,-6.665487E-03
-2.057500E-03,+59.751885E-03,-12.534827E-03,-6.625300E-03
-2.055000E-03,+61.058567E-03,-9.016644E-03,-6.755969E-03
-2.052500E-03,+58.847212E-03,-10.725335E-03,-6.534833E-03
-2.050000E-03,+59.249220E-03,-10.624678E-03,-6.424311E-03
-2.047500E-03,+59.751885E-03,-9.117446E-03,-6.122788E-03
-2.045000E-03,+59.450533E-03,-9.418798E-03,-6.816286E-03
-2.042500E-03,+61.561087E-03,-9.117446E-03,-7.057477E-03
-2.040000E-03,+59.751885E-03,-9.117446E-03,-7.127813E-03
-2.037500E-03,+58.746700E-03,-11.127816E-03,-7.178112E-03
-2.035000E-03,+57.842499E-03,-12.233185E-03,-7.318752E-03
-2.032500E-03,+59.751885E-03,-9.318614E-03,-7.358952E-03
-2.030000E-03,+57.440163E-03,-9.318286E-03,-6.645384E-03
-2.027500E-03,+59.751885E-03,-11.027160E-03,-6.625300E-03
-2.025000E-03,+58.747028E-03,-10.122303E-03,-6.575016E-03
-2.022500E-03,+58.345019E-03,-6.604883E-03,-6.514731E-03
-2.020000E-03,+55.430448E-03,-13.438883E-03,-6.082638E-03
-2.017500E-03,+55.330120E-03,-6.604883E-03,-6.122788E-03
-2.015000E-03,+54.626431E-03,-9.217774E-03,-6.364011E-03
-2.012500E-03,+54.726760E-03,-11.127671E-03,-6.424278E-03
-2.010000E-03,+53.118542E-03,-10.725663E-03,-6.534866E-03
-2.007500E-03,+55.932968E-03,-9.117446E-03,-6.112773E-03
-2.005000E-03,+56.435122E-03,-7.409083E-03,-6.374044E-03
-2.002500E-03,+56.837131E-03,-7.007075E-03,-6.454482E-03
-2.000000E-03,+57.238956E-03,-11.629825E-03,-6.876557E-03
-1.997500E-03,+55.530410E-03,-9.117446E-03,-6.836374E-03
-1.995000E-03,+56.435489E-03,-9.117446E-03,-6.876557E-03
-1.992500E-03,+57.239322E-03,-10.424166E-03,-7.007229E-03
-1.990000E-03,+58.847173E-03,-7.509595E-03,-6.715772E-03
-1.987500E-03,+55.229463E-03,-9.620149E-03,-7.027272E-03
-1.985000E-03,+54.928150E-03,-11.630008E-03,-6.876557E-03
-1.982500E-03,+57.540636E-03,-9.117446E-03,-6.876557E-03
-1.980000E-03,+58.345241E-03,-11.630008E-03,-6.263452E-03
-1.977500E-03,+57.239322E-03,-11.931910E-03,-6.514767E-03
-1.975000E-03,+54.726760E-03,-11.127893E-03,-6.876557E-03
-1.972500E-03,+55.329975E-03,-9.117446E-03,-6.434366E-03
-1.970000E-03,+57.038115E-03,-9.519859E-03,-6.122788E-03
-1.967500E-03,+57.239322E-03,-11.429207E-03,-6.122788E-03
-1.965000E-03,+56.636512E-03,-8.514635E-03,-6.565019E-03
-1.962500E-03,+58.747066E-03,-9.117446E-03,-5.972013E-03
-1.960000E-03,+55.832495E-03,-8.816354E-03,-6.263471E-03
-1.957500E-03,+57.239322E-03,-9.821173E-03,-5.620275E-03
-1.955000E-03,+59.751885E-03,-9.117446E-03,-5.590103E-03
-1.952500E-03,+59.751885E-03,-11.529718E-03,-5.851474E-03
-1.950000E-03,+57.239322E-03,-6.604883E-03,-5.419249E-03
-1.947500E-03,+55.631066E-03,-8.213139E-03,-5.278588E-03
-1.945000E-03,+57.239322E-03,-7.811130E-03,-5.369019E-03
-1.942500E-03,+59.751885E-03,-10.825769E-03,-5.620275E-03
