x-axis,1,2,3
second,Volt,Volt,Volt
-2.300000E-03,,,
-2.297500E-03,,,
-2.295000E-03,+57.867462E-03,-14.142571E-03,-7.409220E-03
-2.292500E-03,+57.163947E-03,-10.926493E-03,-7.057461E-03
-2.290000E-03,+53.947859E-03,-13.037048E-03,-7.127813E-03
-2.287500E-03,+55.857400E-03,-9.117446E-03,-7.479572E-03
-2.285000E-03,+57.867462E-03,-12.936526E-03,-7.630325E-03
-2.282500E-03,+55.555913E-03,-9.117446E-03,-8.132838E-03
-2.280000E-03,+58.068456E-03,-9.117446E-03,-7.901681E-03
-2.277500E-03,+59.777021E-03,-8.514442E-03,-7.750926E-03
-2.275000E-03,+56.862450E-03,-9.117446E-03,-7.730827E-03
-2.272500E-03,+58.168939E-03,-10.222988E-03,-7.881582E-03
-2.270000E-03,+57.163928E-03,-6.604883E-03,-7.630325E-03
-2.267500E-03,+57.867462E-03,-4.996897E-03,-7.660478E-03
-2.265000E-03,+57.867462E-03,-11.529526E-03,-8.132838E-03
-2.262500E-03,+55.857390E-03,-9.117446E-03,-7.831333E-03
-2.260000E-03,+56.962962E-03,-10.021945E-03,-7.630325E-03
-2.257500E-03,+60.380024E-03,-10.323500E-03,-7.630325E-03
-2.255000E-03,+57.867462E-03,-10.825962E-03,-7.379069E-03
-2.252500E-03,+55.756936E-03,-7.408958E-03,-7.549918E-03
-2.250000E-03,+57.867433E-03,-6.604912E-03,-7.127810E-03
-2.247500E-03,+56.158858E-03,-11.630008E-03,-6.705696E-03
-2.245000E-03,+56.158887E-03,-9.921434E-03,-6.876557E-03
-2.242500E-03,+56.661465E-03,-9.016876E-03,-6.876557E-03
-2.240000E-03,+55.354899E-03,-9.117446E-03,-7.218269E-03
-2.237500E-03,+53.344885E-03,-9.117446E-03,-7.379069E-03
-2.235000E-03,+55.354899E-03,-6.705423E-03,-7.379069E-03
-2.232500E-03,+55.354899E-03,-9.117446E-03,-7.348922E-03
-2.230000E-03,+57.867462E-03,-11.630008E-03,-7.379069E-03
-2.227500E-03,+61.787102E-03,-11.931602E-03,-7.127813E-03
-2.225000E-03,+60.380024E-03,-7.609952E-03,-7.379069E-03
-2.222500E-03,+57.867462E-03,-9.117446E-03,-7.379069E-03
-2.220000E-03,+57.867462E-03,-13.941519E-03,-7.379069E-03
-2.217500E-03,+57.666506E-03,-8.916490E-03,-7.630325E-03
-2.215000E-03,+57.867462E-03,-10.323375E-03,-8.384094E-03
-2.212500E-03,+57.867462E-03,-10.122419E-03,-8.132838E-03
-2.210000E-03,+60.380024E-03,-12.735590E-03,-8.303676E-03
-2.207500E-03,+60.781869E-03,-9.117446E-03,-8.384094E-03
-2.205000E-03,+62.591023E-03,-11.630008E-03,-8.665507E-03
-2.202500E-03,+60.480469E-03,-8.916557E-03,-9.379075E-03
-2.200000E-03,+62.892587E-03,-6.604883E-03,-9.238354E-03
-2.197500E-03,+60.380024E-03,-10.021907E-03,-10.052442E-03
-2.195000E-03,+61.586118E-03,-12.936478E-03,-9.771023E-03
-2.192500E-03,+60.380024E-03,-9.921530E-03,-9.559967E-03
-2.190000E-03,+58.269538E-03,-6.604883E-03,-9.389119E-03
-2.187500E-03,+60.380024E-03,-11.630008E-03,-9.640376E-03
-2.185000E-03,+60.380024E-03,-8.715505E-03,-9.389119E-03
-2.182500E-03,+59.576075E-03,-14.142571E-03,-8.967002E-03
-2.180000E-03,+60.380024E-03,-9.117446E-03,-8.886607E-03
-2.177500E-03,+59.475428E-03,-9.117446E-03,-8.384094E-03
-2.175000E-03,+55.857487E-03,-9.117446E-03,-8.384094E-03
-2.172500E-03,+57.766882E-03,-9.218025E-03,-8.122780E-03
-2.170000E-03,+57.867462E-03,-11.328579E-03,-7.690611E-03
-2.167500E-03,+56.058337E-03,-9.820883E-03,-7.811238E-03
-2.165000E-03,+55.053229E-03,-9.117446E-03,-7.771037E-03
-2.162500E-03,+56.862354E-03,-10.624900E-03,-7.881582E-03
-2.160000E-03,+55.957998E-03,-11.026909E-03,-7.690635E-03
-2.157500E-03,+55.153808E-03,-9.117446E-03,-7.650435E-03
-2.155000E-03,+53.244171E-03,-11.830926E-03,-7.630325E-03
-2.152500E-03,+50.932699E-03,-7.810735E-03,-7.821289E-03
-2.150000E-03,+50.329773E-03,-10.625074E-03,-7.881582E-03
-2.147500E-03,+51.435393E-03,-11.630008E-03,-7.881582E-03
-2.145000E-03,+53.545947E-03,-10.222786E-03,-7.740860E-03
-2.142500E-03,+55.053296E-03,-13.539365E-03,-7.600165E-03
-2.140000E-03,+52.842336E-03,-9.117446E-03,-7.389110E-03
-2.137500E-03,+52.842336E-03,-10.122274E-03,-7.328828E-03
-2.135000E-03,+50.329773E-03,-10.021868E-03,-7.308697E-03
-2.132500E-03,+54.148767E-03,-10.323577E-03,-7.509712E-03
-2.130000E-03,+52.842336E-03,-13.338448E-03,-7.459482E-03
-2.127500E-03,+52.440221E-03,-12.032123E-03,-7.841370E-03
-2.125000E-03,+52.842336E-03,-11.629902E-03,-7.379069E-03
-2.122500E-03,+53.244238E-03,-9.921250E-03,-6.916747E-03
-2.120000E-03,+52.038425E-03,-10.826097E-03,-7.127813E-03
-2.117500E-03,+52.842336E-03,-10.323365E-03,-7.258477E-03
-2.115000E-03,+52.842336E-03,-9.117446E-03,-7.218276E-03
-2.112500E-03,+55.354899E-03,-9.117446E-03,-6.926819E-03
-2.110000E-03,+52.842336E-03,-8.916210E-03,-7.137875E-03
-2.107500E-03,+53.143727E-03,-6.604883E-03,-6.906696E-03
-2.105000E-03,+52.842336E-03,-10.926609E-03,-6.946897E-03
-2.102500E-03,+56.460307E-03,-9.419193E-03,-6.876557E-03
-2.100000E-03,+54.349752E-03,-10.122592E-03,-7.127813E-03
-2.097500E-03,+57.264324E-03,-8.514307E-03,-7.318755E-03
-2.095000E-03,+55.354899E-03,-11.630008E-03,-7.379069E-03
-2.092500E-03,+55.354899E-03,-13.941692E-03,-7.399157E-03
-2.090000E-03,+55.354899E-03,-11.630008E-03,-7.439358E-03
-2.087500E-03,+58.872358E-03,-10.625113E-03,-6.977046E-03
-2.085000E-03,+56.460557E-03,-9.418691E-03,-7.017247E-03
-2.082500E-03,+57.867462E-03,-8.012183E-03,-7.198178E-03
-2.080000E-03,+57.867462E-03,-6.604883E-03,-7.600161E-03
-2.077500E-03,+55.254532E-03,-6.604883E-03,-7.620289E-03
-2.075000E-03,+53.344712E-03,-4.594696E-03,-7.178050E-03
-2.072500E-03,+54.651104E-03,-8.213062E-03,-7.127813E-03
-2.070000E-03,+56.561069E-03,-7.811053E-03,-7.379069E-03
-2.067500E-03,+54.450660E-03,-9.921607E-03,-7.298653E-03
-2.065000E-03,+52.842336E-03,-4.494473E-03,-7.419285E-03
-2.062500E-03,+55.354609E-03,-6.604883E-03,-7.127827E-03
-2.060000E-03,+55.354899E-03,-6.604883E-03,-7.549953E-03
-2.057500E-03,+53.646208E-03,-6.604883E-03,-7.208200E-03
-2.055000E-03,+54.149018E-03,-6.705684E-03,-7.379069E-03
-2.052500E-03,+55.354899E-03,-8.212772E-03,-7.288602E-03
-2.050000E-03,+55.354899E-03,-8.614781E-03,-7.178079E-03
-2.047500E-03,+55.556212E-03,-4.092320E-03,-6.896688E-03
-2.045000E-03,+57.566110E-03,-8.514742E-03,-7.127813E-03
-2.042500E-03,+52.842336E-03,-6.604883E-03,-6.946893E-03
-2.040000E-03,+54.249530E-03,-9.117446E-03,-6.876557E-03
-2.037500E-03,+55.354899E-03,-6.102691E-03,-6.374044E-03
-2.035000E-03,+55.354899E-03,-8.514269E-03,-6.564983E-03
-2.032500E-03,+55.153731E-03,-6.604883E-03,-6.605184E-03
-2.030000E-03,+55.154059E-03,-9.117446E-03,-6.333876E-03
-2.027500E-03,+55.957748E-03,-7.207732E-03,-6.374044E-03
-2.025000E-03,+53.847193E-03,-8.614597E-03,-6.876557E-03
-2.022500E-03,+55.354899E-03,-7.710580E-03,-6.484614E-03
-2.020000E-03,+52.842336E-03,-5.499697E-03,-6.514782E-03
-2.017500E-03,+55.656579E-03,-6.303203E-03,-6.876557E-03
-2.015000E-03,+55.254570E-03,-6.604883E-03,-7.117780E-03
-2.012500E-03,+52.842336E-03,-9.117446E-03,-7.529858E-03
-2.010000E-03,+58.571334E-03,-4.996665E-03,-7.630325E-03
-2.007500E-03,+57.767317E-03,-6.604883E-03,-7.630325E-03
-2.005000E-03,+57.063261E-03,-6.604883E-03,-7.962002E-03
-2.002500E-03,+57.867462E-03,-8.715254E-03,-7.881582E-03
-2.000000E-03,+57.867278E-03,-6.604883E-03,-7.881582E-03
-1.997500E-03,+59.978199E-03,-8.715620E-03,-7.881582E-03
-1.995000E-03,+55.354899E-03,-8.313612E-03,-7.801198E-03
-1.992500E-03,+59.073304E-03,-6.604883E-03,-7.881582E-03
-1.990000E-03,+56.962750E-03,-9.117446E-03,-7.972053E-03
-1.987500E-03,+57.867462E-03,-6.604883E-03,-7.680596E-03
-1.985000E-03,+57.968157E-03,-9.016750E-03,-7.630325E-03
-1.982500E-03,+57.867462E-03,-6.906196E-03,-7.851450E-03
-1.980000E-03,+54.651577E-03,-7.710802E-03,-7.811250E-03
-1.977500E-03,+56.762131E-03,-7.710213E-03,-7.379069E-03
-1.975000E-03,+56.360123E-03,-6.604883E-03,-7.630325E-03
-1.972500E-03,+57.264246E-03,-9.117446E-03,-7.881582E-03
-1.970000E-03,+55.153692E-03,-6.806090E-03,-7.630325E-03
-1.967500E-03,+55.354899E-03,-6.604883E-03,-7.881582E-03
-1.965000E-03,+53.445146E-03,-8.514635E-03,-7.439350E-03
-1.962500E-03,+53.345262E-03,-9.117446E-03,-7.479551E-03
-1.960000E-03,+53.948072E-03,-8.816354E-03,-7.127813E-03
-1.957500E-03,+54.953518E-03,-13.438844E-03,-7.308697E-03
-1.955000E-03,+53.144055E-03,-9.117446E-03,-7.067469E-03
-1.952500E-03,+55.254609E-03,-9.217735E-03,-7.127813E-03
-1.950000E-03,+56.862865E-03,-13.137974E-03,-6.675530E-03
-1.947500E-03,+57.667104E-03,-10.725701E-03,-6.946952E-03
-1.945000E-03,+52.942404E-03,-14.042503E-03,-7.007188E-03
-1.942500E-03,+53.646575E-03,-9.921684E-03,-6.705724E-03
