x-axis,1,2,3
second,Volt,Volt,Volt
-2.300000E-03,,,
-2.297500E-03,,,
-2.295000E-03,+428.318180E-03,-14.142571E-03,-8.695652E-03
-2.292500E-03,+428.167426E-03,-13.740553E-03,-7.630325E-03
-2.290000E-03,+426.358383E-03,-17.760657E-03,-8.022286E-03
-2.287500E-03,+432.690037E-03,-20.172728E-03,-6.072535E-03
-2.285000E-03,+434.147322E-03,-21.680260E-03,-4.243389E-03
-2.282500E-03,+434.046806E-03,-19.167697E-03,-3.358969E-03
-2.280000E-03,+434.247839E-03,-16.655134E-03,-3.610225E-03
-2.277500E-03,+433.192552E-03,-14.745574E-03,-5.439374E-03
-2.275000E-03,+431.936271E-03,-14.142571E-03,-6.625300E-03
-2.272500E-03,+429.423708E-03,-15.248114E-03,-6.152936E-03
-2.270000E-03,+431.031756E-03,-13.439037E-03,-3.539872E-03
-2.267500E-03,+430.981515E-03,-14.444097E-03,-1.791126E-03
-2.265000E-03,+435.654873E-03,-14.243054E-03,-826.309E-06
-2.262500E-03,+442.991557E-03,-10.624920E-03,-4.866517E-03
-2.260000E-03,+445.755366E-03,-10.926445E-03,-6.052432E-03
-2.257500E-03,+445.755366E-03,-11.529554E-03,-6.484604E-03
-2.255000E-03,+447.011647E-03,-12.434054E-03,-9.127821E-03
-2.252500E-03,+449.524210E-03,-16.253096E-03,-9.268508E-03
-2.250000E-03,+452.036773E-03,-14.142600E-03,-7.379066E-03
-2.247500E-03,+450.780492E-03,-18.765717E-03,-7.419267E-03
-2.245000E-03,+453.293054E-03,-16.655134E-03,-6.203187E-03
-2.242500E-03,+451.986488E-03,-17.961700E-03,-4.253451E-03
-2.240000E-03,+447.011647E-03,-19.167697E-03,-3.590114E-03
-2.237500E-03,+446.006641E-03,-16.152585E-03,-3.057458E-03
-2.235000E-03,+445.755366E-03,-14.142571E-03,-2.585092E-03
-2.232500E-03,+443.242803E-03,-14.142571E-03,-3.268528E-03
-2.230000E-03,+439.825697E-03,-12.333485E-03,-3.791134E-03
-2.227500E-03,+436.961396E-03,-16.655134E-03,-4.474542E-03
-2.225000E-03,+431.433736E-03,-15.650064E-03,-4.414258E-03
-2.222500E-03,+425.956394E-03,-13.539510E-03,-5.670549E-03
-2.220000E-03,+425.654864E-03,-13.941519E-03,-7.419280E-03
-2.217500E-03,+427.966470E-03,-9.720314E-03,-10.082601E-03
-2.215000E-03,+430.679989E-03,-11.027044E-03,-12.152939E-03
-2.212500E-03,+433.946347E-03,-7.609856E-03,-15.067517E-03
-2.210000E-03,+439.473959E-03,-9.117446E-03,-16.032341E-03
-2.207500E-03,+439.122173E-03,-8.012028E-03,-17.107707E-03
-2.205000E-03,+439.926305E-03,-6.906447E-03,-14.796132E-03
-2.202500E-03,+446.961425E-03,-1.780646E-03,-12.886618E-03
-2.200000E-03,+445.755366E-03,-6.604883E-03,-13.107718E-03
-2.197500E-03,+444.499085E-03,-6.604883E-03,-13.590112E-03
-2.195000E-03,+444.499085E-03,-11.630008E-03,-12.162976E-03
-2.192500E-03,+443.242803E-03,-9.117446E-03,-11.740865E-03
-2.190000E-03,+439.473959E-03,-7.409035E-03,-11.358962E-03
-2.187500E-03,+441.986556E-03,-11.630008E-03,-13.660503E-03
-2.185000E-03,+442.187492E-03,-12.031949E-03,-14.745889E-03
-2.182500E-03,+442.388496E-03,-10.725345E-03,-13.419291E-03
-2.180000E-03,+441.986522E-03,-11.630008E-03,-13.399155E-03
-2.177500E-03,+444.046786E-03,-11.630008E-03,-11.308710E-03
-2.175000E-03,+441.735228E-03,-9.620033E-03,-11.901682E-03
-2.172500E-03,+439.524249E-03,-11.428850E-03,-12.152939E-03
-2.170000E-03,+435.855829E-03,-9.418875E-03,-11.680569E-03
-2.167500E-03,+438.770521E-03,-14.142571E-03,-11.901682E-03
-2.165000E-03,+438.368513E-03,-11.630008E-03,-11.399170E-03
-2.162500E-03,+441.232794E-03,-9.117446E-03,-10.494655E-03
-2.160000E-03,+438.217678E-03,-9.117446E-03,-11.459480E-03
-2.157500E-03,+440.730240E-03,-8.916354E-03,-13.489656E-03
-2.155000E-03,+444.398626E-03,-11.830926E-03,-15.168014E-03
-2.152500E-03,+443.242803E-03,-11.027082E-03,-16.112746E-03
-2.150000E-03,+441.232708E-03,-11.630008E-03,-14.765995E-03
-2.147500E-03,+437.815529E-03,-11.630008E-03,-14.776063E-03
-2.145000E-03,+436.760532E-03,-8.012106E-03,-17.027357E-03
-2.142500E-03,+447.011647E-03,-16.655134E-03,-19.630306E-03
-2.140000E-03,+448.267929E-03,-14.242977E-03,-17.690617E-03
-2.137500E-03,+447.262854E-03,-14.644985E-03,-18.233380E-03
-2.135000E-03,+455.353406E-03,-15.046994E-03,-21.429350E-03
-2.132500E-03,+457.664964E-03,-17.961565E-03,-23.338858E-03
-2.130000E-03,+455.001494E-03,-15.851011E-03,-23.208215E-03
-2.127500E-03,+450.780492E-03,-19.167697E-03,-22.997170E-03
-2.125000E-03,+457.061792E-03,-21.680153E-03,-23.208225E-03
-2.122500E-03,+456.659996E-03,-21.680260E-03,-22.032314E-03
-2.120000E-03,+450.780492E-03,-18.363786E-03,-21.278556E-03
-2.117500E-03,+447.011647E-03,-16.655134E-03,-20.444396E-03
-2.115000E-03,+446.207683E-03,-18.464404E-03,-22.866495E-03
-2.112500E-03,+444.247771E-03,-16.152508E-03,-23.057427E-03
-2.110000E-03,+441.936213E-03,-18.966461E-03,-21.228350E-03
-2.107500E-03,+441.986522E-03,-13.841181E-03,-22.926819E-03
-2.105000E-03,+440.730240E-03,-14.142571E-03,-23.278555E-03
-2.102500E-03,+437.514100E-03,-10.524601E-03,-21.891584E-03
-2.100000E-03,+440.479106E-03,-11.630008E-03,-18.836283E-03
-2.097500E-03,+447.011647E-03,-16.051996E-03,-15.047386E-03
-2.095000E-03,+447.112212E-03,-14.142571E-03,-12.384082E-03
-2.092500E-03,+449.423771E-03,-14.142571E-03,-10.685577E-03
-2.090000E-03,+446.358253E-03,-14.142571E-03,-10.967047E-03
-2.087500E-03,+448.267929E-03,-15.650238E-03,-12.605239E-03
-2.085000E-03,+447.715100E-03,-16.353888E-03,-14.022298E-03
-2.082500E-03,+443.242803E-03,-19.167697E-03,-13.911732E-03
-2.080000E-03,+447.313289E-03,-23.891181E-03,-12.876543E-03
-2.077500E-03,+449.474027E-03,-19.167697E-03,-13.620329E-03
-2.075000E-03,+456.057147E-03,-23.690447E-03,-15.570051E-03
-2.072500E-03,+459.574461E-03,-23.288438E-03,-15.348891E-03
-2.070000E-03,+460.780632E-03,-24.192822E-03,-14.052394E-03
-2.067500E-03,+462.891186E-03,-23.288583E-03,-11.580018E-03
-2.065000E-03,+464.197434E-03,-24.192822E-03,-9.469550E-03
-2.062500E-03,+459.574389E-03,-26.705385E-03,-9.640318E-03
-2.060000E-03,+456.006549E-03,-26.303521E-03,-9.348933E-03
-2.057500E-03,+454.599809E-03,-20.876387E-03,-8.544869E-03
-2.055000E-03,+455.856018E-03,-19.167697E-03,-8.273586E-03
-2.052500E-03,+457.061898E-03,-17.559807E-03,-9.640376E-03
-2.050000E-03,+457.061898E-03,-19.167697E-03,-8.886607E-03
-2.047500E-03,+456.961242E-03,-19.067040E-03,-7.620260E-03
-2.045000E-03,+455.805617E-03,-18.866345E-03,-5.650410E-03
-2.042500E-03,+460.127382E-03,-12.333369E-03,-3.791145E-03
-2.040000E-03,+459.574461E-03,-11.328184E-03,-4.142920E-03
-2.037500E-03,+463.092209E-03,-11.630008E-03,-7.881662E-03
-2.035000E-03,+467.413738E-03,-14.142571E-03,-10.645401E-03
-2.032500E-03,+468.267847E-03,-11.630008E-03,-9.911749E-03
-2.030000E-03,+465.855868E-03,-11.228328E-03,-10.162972E-03
-2.027500E-03,+461.785600E-03,-7.810580E-03,-8.946892E-03
-2.025000E-03,+456.308046E-03,-9.620294E-03,-8.384094E-03
-2.022500E-03,+461.936440E-03,-5.499186E-03,-8.967060E-03
-2.020000E-03,+462.438868E-03,-3.388631E-03,-10.102739E-03
-2.017500E-03,+465.855868E-03,-1.278077E-03,-11.590090E-03
-2.015000E-03,+465.855868E-03,-1.680086E-03,-11.891649E-03
-2.012500E-03,+462.087024E-03,-3.087646E-03,-10.494612E-03
-2.010000E-03,+459.122289E-03,-2.484103E-03,-10.142888E-03
-2.007500E-03,+458.971357E-03,-2.886111E-03,-12.032318E-03
-2.005000E-03,+455.001417E-03,-1.579757E-03,-11.730846E-03
-2.002500E-03,+448.469025E-03,-4.092320E-03,-12.444414E-03
-2.000000E-03,+449.524118E-03,-1.579574E-03,-12.906671E-03
-1.997500E-03,+449.725123E-03,+530.980E-06,-10.263436E-03
-1.995000E-03,+452.036773E-03,-5.801049E-03,-10.575124E-03
-1.992500E-03,+450.780492E-03,-2.785599E-03,-9.750872E-03
-1.990000E-03,+449.071854E-03,-9.117446E-03,-8.062524E-03
-1.987500E-03,+448.016577E-03,-9.117446E-03,-7.630325E-03
-1.985000E-03,+445.654671E-03,-6.504188E-03,-8.132838E-03
-1.982500E-03,+446.710334E-03,-8.514819E-03,-10.333882E-03
-1.980000E-03,+445.403705E-03,-5.901561E-03,-8.022246E-03
-1.977500E-03,+445.755366E-03,-7.710213E-03,-8.916797E-03
-1.975000E-03,+446.509035E-03,-9.117446E-03,-8.635351E-03
-1.972500E-03,+444.197477E-03,-9.117446E-03,-7.951873E-03
-1.970000E-03,+443.242803E-03,-9.117446E-03,-8.152959E-03
-1.967500E-03,+440.730240E-03,-9.318247E-03,-8.172998E-03
-1.965000E-03,+440.730240E-03,-9.720256E-03,-8.072557E-03
-1.962500E-03,+440.227831E-03,-13.137752E-03,-10.796175E-03
-1.960000E-03,+443.795671E-03,-11.630008E-03,-12.987172E-03
-1.957500E-03,+444.850948E-03,-14.846298E-03,-15.379132E-03
-1.955000E-03,+447.011647E-03,-16.051697E-03,-17.117720E-03
-1.952500E-03,+446.961502E-03,-11.730298E-03,-14.936816E-03
-1.950000E-03,+452.790756E-03,-8.111778E-03,-17.881710E-03
-1.947500E-03,+454.649515E-03,-9.117446E-03,-19.761022E-03
-1.945000E-03,+460.780709E-03,-9.217514E-03,-22.936945E-03
-1.942500E-03,+459.172342E-03,-13.338332E-03,-24.042408E-03
