x-axis,1,2,3
second,Volt,Volt,Volt
-860.000E-06,,,
-857.500E-06,+62.565954E-03,-13.841065E-03,-5.620275E-03
-855.000E-06,+62.967963E-03,-14.142571E-03,-4.866506E-03
-852.500E-06,+62.264448E-03,-15.549611E-03,-4.755954E-03
-850.000E-06,+63.269479E-03,-15.147602E-03,-4.866506E-03
-847.500E-06,+64.777011E-03,-16.655134E-03,-5.057460E-03
-845.000E-06,+59.952899E-03,-14.343585E-03,-4.655453E-03
-842.500E-06,+62.264448E-03,-14.142571E-03,-4.655449E-03
-840.000E-06,+61.661445E-03,-17.961691E-03,-4.806206E-03
-837.500E-06,+61.259436E-03,-14.142571E-03,-4.665497E-03
-835.000E-06,+61.158905E-03,-15.248114E-03,-4.836359E-03
-832.500E-06,+62.264448E-03,-15.951600E-03,-4.866506E-03
-830.000E-06,+61.661397E-03,-16.353608E-03,-5.147915E-03
-827.500E-06,+57.239322E-03,-11.730491E-03,-4.876555E-03
-825.000E-06,+59.751885E-03,-14.142571E-03,-5.017264E-03
-822.500E-06,+61.560885E-03,-15.750634E-03,-4.936863E-03
-820.000E-06,+59.751885E-03,-12.936517E-03,-5.117763E-03
-817.500E-06,+58.947839E-03,-13.338525E-03,-5.117763E-03
-815.000E-06,+61.862410E-03,-16.655134E-03,-5.580072E-03
-812.500E-06,+57.239322E-03,-11.630037E-03,-5.369019E-03
-810.000E-06,+57.641302E-03,-16.253154E-03,-5.369019E-03
-807.500E-06,+57.138724E-03,-14.142571E-03,-5.539876E-03
-805.000E-06,+58.545889E-03,-12.936575E-03,-5.369019E-03
-802.500E-06,+58.143880E-03,-14.142571E-03,-5.459475E-03
-800.000E-06,+55.229309E-03,-14.142571E-03,-5.519765E-03
-797.500E-06,+54.827300E-03,-14.042030E-03,-5.117763E-03
-795.000E-06,+57.239322E-03,-9.418913E-03,-5.338872E-03
-792.500E-06,+53.621149E-03,-14.846047E-03,-5.801184E-03
-790.000E-06,+56.133838E-03,-12.735493E-03,-5.871532E-03
-787.500E-06,+58.746816E-03,-11.630008E-03,-6.575058E-03
-785.000E-06,+57.842383E-03,-11.630008E-03,-6.313738E-03
