source,image,lens,gridsize,lens-code
88,0,61,8.15,1.1
88,-0.8,61,8.43,1.1
88,0.25,61,7.52,1.1
88,-1.1,61,8.55,1.1
88,0.3,61,8.19,1.1
88,19.9,51,2.8,1.2
88,19,51,3.25,1.2
88,19,51,2.99,1.2
88,19.1,51,3.04,1.2
88,18.9,51,3.08,1.2
88,15.95,56,4.34,1.3
88,15.5,56,4.52,1.3
88,16.5,56,4.12,1.3
88,15.5,56,4.61,1.3
88,16.1,56,4.34,1.3
88,19,46,2.33,1.4
88,17.9,46,2.73,1.4
88,18.15,46,2.12,1.4
88,18,46,2.51,1.4
88,18.1,46,2.25,1.4
88,46.75,61,2.65,2.1
88,47,61,2.61,2.1
88,48,61,2.09,2.1
88,40.7,71,6.61,2.2
88,41.1,71,6.83,2.2
88,38.3,71,8.03,2.2
88,48.95,66,3.12,2.3
88,49.1,66,2.83,2.3
88,48.7,66,3.31,2.3
88,49.1,64,2.33,2.4
88,48.7,64,2.24,2.4
88,48.95,64,2.75,2.4
88,-11,51,5.13,3.1
88,-12.9,51,5.99,3.1
88,-12.4,51,5.65,3.1
88,-2.1,41,3.19,3.2
88,-1,41,2.88,3.2
88,-1.7,41,3.06,3.3
88,-4.5,46,3.81,3.3
88,-4.8,46,4.17,3.3
88,-3.5,46,3.96,3.3
88,-2.7,43,3.26,3.4
88,-2.3,43,3.59,3.4
88,-3.7,43,4.07,3.4
88,-13.7,51,5.96,4.1
88,-14,51,6.04,4.1
88,-16.8,51,6.84,4.1
88,-1.9,41,2.92,4.2
88,-1.8,41,2.79,4.2
88,-2.9,41,4.33,4.2
88,-5.5,46,4.72,4.3
88,-4.9,46,4.4,4.3
88,-7,46,5.18,4.3
88,-3.7,43,4.4,4.4
88,-4.3,43,3.96,4.4
88,-2.9,43,3.54,4.4
